Name,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,id,Battery_Capacity_kwh
"MG MG5 Electric",8.3,180,340,168,440,"Front Wheel Drive",5,35000,NULL,63,57
"Mazda MX-30",9.7,140,170,176,180,"Front Wheel Drive",5,34490,26045,64,30
"Ford Mustang Mach-E SR RWD",6.9,180,345,197,380,"Rear Wheel Drive",5,46900,41330,65,68
"MG Marvel R Performance",4.9,200,330,197,380,"All Wheel Drive",5,50000,NULL,66,65
"Ford Mustang Mach-E ER RWD",7.0,180,440,200,430,"Rear Wheel Drive",5,54475,49980,67,88
"Ford Mustang Mach-E SR AWD",6.3,180,330,206,360,"All Wheel Drive",5,54000,46650,68,68
"Hyundai IONIQ 5 Standard Range 2WD",8.5,185,310,187,720,"Rear Wheel Drive",5,41900,36995,69,58
"Hyundai IONIQ 5 Standard Range AWD",6.1,185,305,190,710,"All Wheel Drive",5,45700,NULL,70,58
"Hyundai IONIQ 5 Long Range 2WD",7.4,185,385,189,890,"Rear Wheel Drive",5,45100,41945,71,73
"Hyundai IONIQ 5 Long Range AWD",5.2,185,375,194,870,"All Wheel Drive",5,48900,45145,72,73
"Kia EV6 Standard Range 2WD",8.5,185,320,181,740,"Rear Wheel Drive",5,44990,40985,73,58
"Kia EV6 Long Range 2WD",7.5,185,420,184,980,"Rear Wheel Drive",5,54990,48000,74,77
"Ford Mustang Mach-E ER AWD",5.8,180,420,210,410,"All Wheel Drive",5,62900,57030,75,88
"Ford Mustang Mach-E GT",4.4,200,410,215,400,"All Wheel Drive",5,NULL,67225,76,88
"Audi e-tron Sportback 50 quattro",6.8,190,295,219,490,"All Wheel Drive",5,71350,69100,77,65
"Tesla Cybertruck Single Motor",7.0,180,390,256,740,"Rear Wheel Drive",7,45000,39000,78,100
"Kia EV6 Long Range AWD",5.4,185,410,189,950,"All Wheel Drive",5,56000,52000,79,77
"Tesla Cybertruck Dual Motor",5.0,190,460,261,710,"All Wheel Drive",7,55000,48000,80,120
"Tesla Cybertruck Tri Motor",3.0,210,750,267,710,"All Wheel Drive",7,75000,68000,81,200
"Mercedes EQS 450+",6.2,210,640,168,840,"Rear Wheel Drive",5,106374,95000,82,108
"Lexus UX 300e",7.5,160,260,192,150,"Front Wheel Drive",5,47550,43900,83,50
"Mercedes EQS 580 4MATIC",4.3,210,610,177,800,"All Wheel Drive",5,135529,115000,84,108
"BMW i4 eDrive40",5.7,190,475,170,660,"Rear Wheel Drive",5,58300,51905,85,81
"Audi e-tron 55 quattro",5.7,200,365,237,590,"All Wheel Drive",5,NULL,71500,86,87
"Tesla Model 3 Standard Range Plus",5.6,225,340,147,680,"Rear Wheel Drive",5,43560,40990,87,50
"Aiways U5",7.5,150,335,188,350,"Front Wheel Drive",5,35993,NULL,88,63
"Polestar 2 Standard Range Single Motor",7.4,160,350,174,450,"Front Wheel Drive",5,46500,39900,89,61
"Renault Twingo Electric",12.6,135,130,164,NULL,"Rear Wheel Drive",4,24790,NULL,90,21
"Audi e-tron S 55 quattro",4.5,210,320,270,510,"All Wheel Drive",5,93800,87000,91,87
"Polestar 2 Long Range Single Motor",7.4,160,425,176,550,"Front Wheel Drive",5,49500,42900,92,75
"Polestar 2 Long Range Dual Motor",4.7,205,395,190,510,"All Wheel Drive",5,52500,45900,93,75
"Audi e-tron S Sportback 55 quattro",4.5,210,335,258,540,"All Wheel Drive",5,96050,88700,94,87
"Volkswagen ID.4 Pure",10.9,160,285,182,410,"Rear Wheel Drive",5,36950,32150,95,52
"Volkswagen ID.4 1st",8.5,160,410,188,500,"Rear Wheel Drive",5,NULL,40800,96,77
"Byton M-Byte 95 kWh 2WD",7.5,190,400,238,480,"Rear Wheel Drive",5,62000,57500,97,95
"Fiat 500e Cabrio",9.0,150,245,152,410,"Front Wheel Drive",4,30560,26645,98,37
"Opel Mokka-e",8.5,150,255,176,340,"Front Wheel Drive",5,34110,30540,99,45
"Audi Q4 e-tron 40",8.5,160,405,189,500,"Rear Wheel Drive",5,47500,44990,100,77
"Skoda Enyaq iV 60",8.7,160,330,176,420,"Rear Wheel Drive",5,38850,31995,101,58
"Skoda Enyaq iV 80",8.6,160,420,183,510,"Rear Wheel Drive",5,43950,39350,102,77
"Audi Q4 e-tron 50 quattro",6.2,180,385,199,470,"All Wheel Drive",5,53600,51370,103,77
