region,address,"aux addres",latitude,longitude,type,power,service,id
"NOIDA AUTHORITY","Sector 25A, Spice Mall plot area, Noida Authority, Noida, UP","Electric Vehicle Charger, Sector 25A, Spice Mall plot area, Noida Authority, Noida, UP",28.586214,77.341103,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",27
"NOIDA AUTHORITY","Charger 2, Sec-25A: Spice Mall plot area","Electric Vehicle Charger, Charger 2, Sec-25A: Spice Mall plot area",28.586214,77.341103,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",28
"NOIDA AUTHORITY","Charger 1, Sector 16: Parking near metro station, sector-16, Noida, UP","Electric Vehicle Charger, Charger 1, Sector 16: Parking near metro station, sector-16, Noida, UP",28.577380,77.314494,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",29
"NOIDA AUTHORITY","Near Tata Advance Systems, sector- 59, Noida","Electric Vehicle Charger, Near Tata Advance Systems, sector- 59, Noida",28.607563,77.368332,DC-001,15,"Self Service",30
"NOIDA AUTHORITY","Charger 2, Sector 16: Parking near metro station, sector-16, Noida, UP","Electric Vehicle Charger, Charger 2, Sector 16: Parking near metro station, sector-16, Noida, UP",28.577380,77.314494,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",31
ANERT,"DTPC office, thiruvananthapuram,Kerala- 605007","Electric Vehicle Charger, DTPC office, thiruvananthapuram,Kerala- 605007",8.508339,76.947235,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",32
NRANVP,"KTDC Tourist Reception Centre Shanmugham road, Ernakulam, Marine drive, Kochi Kerala-682031","Electric Vehicle Charger, KTDC Tourist Reception Centre Shanmugham road, Ernakulam, Marine drive, Kochi Kerala-682031",9.976921,76.277781,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",33
"NOIDA AUTHORITY","In front of Marie gold exports ltd, A block, sector-64, Noida","Electric Vehicle Charger, In front of Marie gold exports ltd, A block, sector-64, Noida",28.611892,77.376226,DC-001,15,"Self Service",34
NDMC,"Outside UCO Bank, Block H, RR3, Connaught Place, New Delhi","Electric Vehicle Charger, Outside UCO Bank, Block H, RR3, Connaught Place, New Delhi",28.635113,77.218421,DC-001,15,"Self Service",35
"NOIDA AUTHORITY","In front of Hexagon pvt ltd, sector-65, Noida","Electric Vehicle Charger, In front of Hexagon pvt ltd, sector-65, Noida",28.612763,77.387132,DC-001,15,"Self Service",36
